data,competitor,name,group,weight,price,price_old,discount,insert,otzyvy,lock,article
2024-03-17,Башкирские пасеки,мед   башкирский натуральный 2023 года 400 гр,,450.0,483,509,0.95,липовый,123.0,Насыценный вкус и аромат; сладкий,68478990
2024-03-17,Дикий Мед,"медовая смесь №4 ""гриб чага"" премиум из башкирии 200 гр /эко/ ""дикий мед""",,200.0,613,646,0.95,,1.0,,34365204
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор натурального меда, без сахара",,1700.0,1389,1463,0.95,горный; луговой; разнотравный,6326.0,ягодный; сладкий; медовый,28876544
2024-03-17,БАЛ БАБАЙ,мед башкирский цветочный,,1000.0,431,454,0.95,традиционный; башкирский,115.0,ароматный; насыщенный; приятное послевкусие,140198806
2024-03-17,Эко Пчела Здоровье,мед башкирский гречишный 1кг,,1000.0,314,331,0.95,горный; высокогорный; цветочный,690.0,"без сахара; сладкий, нежный",123219944
2024-03-17,Пасека Якупова Рината,башкирский натуральный гречишный мед,,500.0,444,468,0.95,гречишный; вегетарианский; суперфуд,103.0,полезные сладости без сахара; постные продукты питания; мед органический гречишный,60933334
2024-03-17,Пасека Якупова Рината,башкирский цветочный лесной мед 500 г сбор 2023,,500.0,281,296,0.95,вегетарианский; мёд натуральный; веганский,243.0,полезные сладости без сахара; постные продукты питания; мед органический цветочный лесной,40497658
2024-03-17,Пасеки Макушкина,башкирский мёд цветочный натуральный 334 г. сбор 2023г.,,334.0,244,257,0.95,традиционный,22.0,нежный; медовый; ароматный,15523741
2024-03-17,Мёд семьи Мамдеевых,гречишный мёд с кедровой живицей,,950.0,453,477,0.95,натуральный; Набор с медом; Башкирский Мед,91.0,ягодный; медовый; Сладкий без сахара,177380944
2024-03-17,Мед Куляшовых,подарочный набор меда и орехов  на 8 марта,,870.0,1236,1302,0.95,традиционный,9549.0,липа; орех,192540687
2024-03-17,Пасека Якупова Рината,башкирский цветочный лесной мед,,1000.0,449,473,0.95,вегетарианский; мёд натуральный; веганский,243.0,полезные сладости без сахара; постные продукты питания; мед органический цветочный лесной,40497192
2024-03-17,ЖидковЕ,мед башкирский цветок жидков,,1000.0,469,494,0.95,мелкозернистый,84.0,мёд,73580366
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор натурального меда, без сахара",,2000.0,1062,1118,0.95,натуральный; Набор с медом; Башкирский Мед,6326.0,ягодный; медовый; Сладкий без сахара,83485036
2024-03-17,Башкирские пасеки,набор меда башкирского сувенирный 4б,,1000.0,1068,1125,0.95,Цветочный Разнотравный Горный Луговой Лесной; липовый; гречишный,329.0,Насыщенный вкус и аромат. Насыщенный яркий; Сладкий / густой / натуральный,100839355
2024-03-17,Правильные пчелы,натуральный цветочный мед луговой разнотравье сбор 2023,,900.0,313,330,0.95,разнотравье; домашний,174.0,медовый; сладкий; ароматные травы,53578546
2024-03-17,Берестов А.С.,"мёд ""берестов а.с."" башкирхан  500г",,500.0,623,656,0.95,"вегетарианский; от кашля; бакалея, экопродукты",50.0,Мягкий; Сладкий без сахара; нежный,158552480
2024-03-17,Мёд семьи Мамдеевых,гречишный мёд с кедровой живицей,,600.0,505,532,0.95,натуральный; Набор с медом; Башкирский Мед,91.0,ягодный; медовый; Сладкий без сахара,177380925
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор меда, ассорти , зож",,480.0,908,956,0.95,натуральный; Набор с медом; Башкирский Мед,751.0,ягодный; медовый; Сладкий без сахара,158384935
2024-03-17,Семейная Пасека Гареевых,"мёд натуральный и рябина без сахара, набор подарочный, зож",,800.0,768,809,0.95,Башкирский Мед; цветочный мёд; крем мед,54.0,сладкий; цветочный; Липовый,125320634
2024-03-17,Мёд семьи Мамдеевых,"мёд с мумие, витаминная бомба",,1400.0,494,520,0.95,натуральный; Набор с медом; Башкирский Мед,7566.0,ягодный; медовый; Сладкий без сахара,177380956
2024-03-17,Башкирская Медовня,медовый набор 4 вида 160 грамм,,160.0,286,302,0.95,традиционный,334.0,цветочный; сладкий; разнотравье,89103485
2024-03-17,Башкирская Медовня,мёд натуральный подсолнечниковый 3000 грамм,,3000.0,842,887,0.95,подсолнечниковый,151.0,Приятный терпкий вкус,87650375
2024-03-17,Антон МедоВ,мед липовый натуральный 500 г. без сахара 2023 г.,,500.0,420,443,0.95,полезные сладости; крем мед суфле; продукты питания,360.0,сладкий; медовый; разнотравье,12179127
2024-03-17,Мёд семьи Мамдеевых,"таёжный мёд, продукты без сахара",,300.0,296,312,0.95,натуральный; Набор с медом; Башкирский Мед,944.0,ягодный; медовый; Сладкий без сахара,172939395
2024-03-17,Берестов А.С.,мед  натуральный донниковый 500г ,,500.0,592,624,0.95,без сахара; настоящий; Башкирский Мед,4951.0,нейтральный вкус донник; Сладкий вкус; Приятный вкус без терпкости,38785977
2024-03-17,,мёд башкирский пчеловод  / цветочный/ липовый/ гречишный,,2500.0,599,631,0.95,гречишный мёд; липовый мёд; цветочный мёд,679.0,вкусный и сладкий,159696689
2024-03-17,Пасека Якупова Рината,башкирский натуральный гречишный мед,,500.0,270,285,0.95,гречишный; вегетарианский; суперфуд,103.0,полезные сладости без сахара; постные продукты питания; мед органический гречишный,60933335
2024-03-17,Ёлки Пчёлки,липовый мед башкирский,,500.0,433,456,0.95,традиционный; башкирский,384.0,сладкий; медовый; нежный,146049550
2024-03-17,Башкирская Медовня,мёд натуральный липовый  700 грамм,,700.0,517,545,0.95,традиционный,380.0,цветочный,163818262
2024-03-17,Дикий Мед,"медовая смесь №5 ""ромашка"" премиум из башкирии 200 гр /эко/ ""дикий мед""",,200.0,592,624,0.95,,2.0,,34368978
2024-03-17,Мёд семьи Мамдеевых,"мёд с имбирем и куркумой, подарочный набор, пп, зож",,2000.0,1151,1212,0.95,натуральный; Набор с медом; Башкирский Мед,566.0,ягодный; медовый; Сладкий без сахара,165755164
2024-03-17,Мёд семьи Мамдеевых,"горный липовый мёд, полезные сладости, пп, зож",,450.0,387,408,0.95,натуральный; Набор с медом; Башкирский Мед,3227.0,ягодный; медовый; Сладкий без сахара,183594448
2024-03-17,Пшадский мёд,мёд натуральный липовый без сахара,,450.0,331,349,0.95,натуральный 100% мёд; жидкий темный; закристализованный светлый,110.0,"сладкий, терпкий с легкой горчинкой; насыщенный липовый; с ароматом горных трав",193667345
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор натурального меда, без сахара",,2000.0,1165,1227,0.95,натуральный; Набор с медом; Башкирский Мед,6326.0,ягодный; медовый; Сладкий без сахара,83485032
2024-03-17,Башкирский гостинец. KUCHTENECH,"башкирский мед гречишный, 1.1 кг",,1100.0,430,453,0.95,гречишный,186.0,Терпкий вкус и аромат с легкой горчинкой,20907139
2024-03-17,Башкирский гостинец. KUCHTENECH,"подарочный набор ""башкирский гостинец""",,1250.0,785,827,0.95,традиционный,186.0,,188074856
2024-03-17,Антон МедоВ,мёд рапсовый натуральный 1 кг без сахара 2023 г.,,1000.0,389,410,0.95,крем мед суфле; продукты питания; полезные сладости,194.0,медовый; нежный; разнотравье,58444376
2024-03-17,МЕДОВЗ,мед липовый башкирский 1000 гр.,,1200.0,687,724,0.95,традиционный; суфле; крем мед,190.0,сладкий; медовый; нежный,143677864
2024-03-17,Bashpodarki,настоящий башкирский мед набор,,225.0,366,386,0.95,традиционный,547.0,ассорти; насыщенный; вкусный,191769743
2024-03-17,Мед и Конфитюр,мёд в сотах акациевый (белой) 3шт. по 150 гр.,,,679,715,0.95,соты; традиционный,202.0,травяной,144374942
2024-03-17,ЖидковЕ,мед башкирская липа 600 ж,,600.0,677,713,0.95,традиционный,44.0,мёд,213068735
2024-03-17,Мёд семьи Мамдеевых,"мёд с мумие, витаминная бомба",,1000.0,412,434,0.95,натуральный; Набор с медом; Башкирский Мед,7566.0,ягодный; медовый; Сладкий без сахара,177380953
2024-03-17,МЕДОВЗ, мед гречишный башкирский 1400 гр. ,,1600.0,610,643,0.95,традиционный; крем мед; настоящий,190.0,медовый; бархатный,143672129
2024-03-17,Башкирская Медовня,мёд натуральный цветочный 550 грамм,,550.0,315,332,0.95,цветочный,79.0,цветочный,89147564
2024-03-17,Правильный Мёд,мед башкирский лесной ,,1000.0,412,434,0.95,натуральный; лесной; башкирский,101.0,"цветочный; Яркий цветочно-травяной вкус; Не приторный, насыщенный",77486494
2024-03-17,Пасека Якупова Рината,башкирский натуральный гречишный мед,,500.0,596,628,0.95,гречишный; вегетарианский; суперфуд,103.0,полезные сладости без сахара; постные продукты питания; мед органический гречишный,97334046
2024-03-17,Башкирская Медовня,мёд натуральный цветочный 4200 грамм,,4200.0,1484,1563,0.95,цветочный натуральный башкирский мед,151.0,цветочный,87941494
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор меда, ассорти , зож",,480.0,879,926,0.95,натуральный; Набор с медом; Башкирский Мед,751.0,ягодный; медовый; Сладкий без сахара,158384941
2024-03-17,Пшадский мёд,мёд акациевый натуральный без сахара ,,450.0,341,359,0.95,традиционный; гипоаллергенный; жидкий мед,110.0,акация; белая акация; цветочный,193677542
2024-03-17,Bashpodarki,подарочный набор мед,,120.0,349,368,0.95,традиционный,2081.0,липа; мёд; цветочный,154739657
2024-03-17,Мёд семьи Мамдеевых,"мёд с мумие стронг, двойное мумиё",,500.0,332,350,0.95,горный; луговой; разнотравный,7566.0,ягодный; натуральный; сладкий медовый,85676542
2024-03-17,Мёд семьи Мамдеевых,"дягилевый мёд, полезные сладости, пп, зож",,700.0,560,590,0.95,натуральный; Набор с медом; Башкирский Мед,569.0,ягодный; медовый; Сладкий без сахара,183594530
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор меда, ассорти , зож",,360.0,730,769,0.95,натуральный; Набор с медом; Башкирский Мед,751.0,ягодный; медовый; Сладкий без сахара,158384929
2024-03-17,Мёд семьи Мамдеевых,"луговой мед, натуральный эко-продукт",,950.0,386,407,0.95,натуральный; Набор с медом; Башкирский Мед,1400.0,ягодный; медовый; Сладкий без сахара,33099213
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор меда, ассорти , зож",,360.0,717,755,0.95,натуральный; Набор с медом; Башкирский Мед,751.0,ягодный; медовый; Сладкий без сахара,158384925
2024-03-17,Мёд семьи Мамдеевых,"мёд с мумие, витаминная бомба",,1100.0,536,565,0.95,натуральный; Набор с медом; Башкирский Мед,7566.0,ягодный; медовый; Сладкий без сахара,177380954
2024-03-17,Bashpodarki,мед башкирский натуральный набор подарок ,,480.0,576,607,0.95,натуральный; подарочный; башкирский,281.0,ассорти; Насыщенный вкус и аромат; настоящий,12504627
2024-03-17,Башкирские пасеки,башкирский мед цветочный 250 гр ,,300.0,226,238,0.95,Цветочный Разнотравный Горный Луговой Лесной,329.0,Насыщенный вкус и аромат. Насыщенный яркий; Сладкий / густой / натуральный,116114670
2024-03-17,Пасека Якупова Рината,башкирский горный липовый мед сбор 2023,,1000.0,879,926,0.95,мед натуральный; вегетарианский; суперфуд,295.0,полезные сладости без сахара; постные продукты питания; мед органический липовый,93653311
2024-03-17,вековая пасека,"мед натуральный акациевый 1,1 кг",,900.0,628,662,0.95,традиционный,46.0,акация; амаретто; цветочный,175291909
2024-03-17,Лесные угодья,"мёд натуральный ""башкирская липа"" ст/бан 320 гр.",,320.0,360,379,0.95,традиционный,72.0,мёд,15447466
2024-03-17,МЕДОВЗ,мед гречишный башкирский 1000 гр.,,1200.0,435,458,0.95,традиционный; монофлерный; цветочный,190.0,медовый; бархатный; нежный,143655157
2024-03-17,Башкирская Медовня,мёд натуральный цветочный 1000 грамм,,1000.0,406,428,0.95,цветочный,380.0,цветочный,66966680
2024-03-17,МЕДОВЗ,мед цветочный башкирский 1000 гр. ,,1200.0,408,430,0.95,традиционный; разнотравный; полифлерный,190.0,травяной; цветочный; мёд,143793518
2024-03-17,ЖИВОЙМЕД,цельный выдержанный башкирский липовый мёд vtl густой,,1000.0,3283,3456,0.95,Липовый Горный Башкирский Мед; веганский,21.0,Ароматный липовый; душистый; Изысканный и гармоничный,99984926
2024-03-17,Пчелиная Ферма,набор мёда 4 шт. по 250 г.,,1000.0,960,1011,0.95,традиционный,319.0,,99245521
2024-03-17,Башкирская Медовня,мёд натуральный гречишный 500 грамм,,500.0,286,302,0.95,традиционный,380.0,Пряный вкус и аромат; детства,163809696
2024-03-17,Башкирская Медовня,мёд натуральный башкирский подсолнечниковый  500 грамм,,500.0,267,282,0.95,традиционный,380.0,цветочный,163807075
2024-03-17,Башкирский гостинец. KUCHTENECH,мед башкирский цветочный,,1100.0,467,492,0.95,цветочный; горное разнотравье; традиционный,186.0,"Сладкий, имеет нежный аромат; Сладкий, насыщенный, натуральный; Сладкий / густой / натуральный",25399913
2024-03-17,Антон МедоВ,мёд царский натуральный 500 г. без сахара 2023 г.,,500.0,448,472,0.95,полезные сладости; крем мед суфле; продукты питания,52.0,мёд; липа; травяной,12179151
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор меда, ассорти , зож",,960.0,1463,1540,0.95,натуральный; Набор с медом; Башкирский Мед,119.0,ягодный; медовый; Сладкий без сахара,158384950
2024-03-17,ЖидковЕ,мед башкирский липовый и цветок жидкова 500+500,,1000.0,733,772,0.95,набор Башкирского меда пасеки Жидкова,10.0,мёд,105113017
