,link,price,oldprice,otzyv
335,215043063,402,424,16
336,182251365,546,575,384
337,12179131,375,395,23
338,15523743,439,463,22
339,85676545,376,396,733
340,13118269,691,728,957
341,28492749,580,611,971
342,13118267,555,585,1400
343,87972593,1208,1272,733
344,13118283,616,649,971
345,7906346,349,368,1595
346,13118273,686,723,1674
347,80111453,4759,5010,957
348,28876473,912,960,971
349,84416141,1041,1096,128
350,12179141,295,311,194
351,165755143,486,512,1616
352,147125892,366,386,547
353,28876444,838,883,727
354,147126434,366,386,547
355,43247510,3812,4013,72
356,165755180,2141,2254,7566
357,89122882,1099,1157,151
358,212162919,402,424,16
359,212158181,402,424,16
360,42745468,459,484,232
361,33099215,968,1019,727
362,47313682,2109,2220,64
363,183594458,1135,1195,7566
364,183594438,753,793,3227
365,165755176,2463,2593,566
366,177380924,3255,3427,91
367,183594460,1500,1579,7566
368,165755159,898,946,566
369,177381003,884,931,727
370,177380931,6586,6933,91
371,177380979,874,920,185
372,172939396,6822,7182,5
373,177380952,5496,5786,7566
374,165755141,4826,5080,957
375,183594461,1771,1865,7566
376,177380959,1733,1825,7566
377,85676544,1681,1770,733
378,158384952,1625,1711,119
379,85676539,980,1032,727
380,153949176,951,1002,727
381,158384937,895,943,751
382,158384948,884,931,119
383,158384933,870,916,751
384,160068674,484,510,802
385,49336869,242,255,679
386,87618498,291,307,55
387,171726054,2609,2747,360
388,15523742,282,297,22
389,138243899,224,236,116
390,183594564,10419,10968,467
391,183594607,382,403,2471
392,177380939,288,304,91
393,166404928,698,735,10
394,183594594,1003,1056,5683
395,80116619,5868,6177,720
396,183594542,1464,1542,91
397,183594596,1324,1394,5683
398,209853942,1213,1277,10
399,183594541,1119,1178,91
400,160068676,1090,1148,802
401,183594601,1049,1105,2471
402,165755173,886,933,957
403,158384947,858,904,119
404,158384926,589,620,751
405,158384922,672,708,751
406,80116433,4672,4918,1674
407,43228362,1820,1916,10
408,172939341,1018,1072,944
409,84410548,689,726,751
410,153528633,893,940,8
411,179354159,779,820,7
412,79693159,530,558,42
413,79972580,497,524,2
414,80647857,331,349,2
415,79930479,186,196,5
416,146164524,4986,5249,53
417,188280763,649,684,
418,150373182,278,293,1
419,110531911,233,246,125
420,146724868,785,827,156
421,163813967,294,310,380
422,186642627,166,175,18
423,163813242,408,430,380
424,142523220,355,374,57
425,87413351,696,733,380
426,146723537,397,418,156
427,84416140,887,934,128
428,85675415,789,831,971
429,84416142,775,816,185
430,85672395,575,606,971
431,73497217,264,278,278
432,203883362,2676,2817,3
433,87972600,2703,2846,733
434,28496365,633,667,971
435,100334566,384,405,54
436,183594562,301,317,467
437,212970666,436,459,2
438,85675420,4463,4698,733
439,28492745,714,752,971
440,9404798,681,717,971
441,87628678,1132,1192,151
442,147126430,366,386,547
443,172939400,395,416,944
444,84416147,566,596,185
445,7906376,366,386,1595
446,147126432,366,386,547
447,84416148,576,607,185
448,84406223,1776,1870,173
449,84416139,574,605,185
450,84416149,505,532,185
451,84406222,1929,2031,173
452,7906352,488,514,1595
453,165755157,574,605,2116
454,83495203,1737,1829,173
455,188238000,565,595,9
456,65514079,563,593,125
457,191769742,366,386,547
458,73497166,186,196,278
459,55104872,313,330,101
460,146048006,376,396,384
461,183594515,378,398,1400
462,86811643,618,651,59
463,165755166,4979,5242,4
464,177380983,730,769,185
465,177380938,1005,1058,91
466,165755119,5735,6037,5683
467,177381006,835,879,26
468,183594481,1239,1305,802
469,177381000,533,562,185
470,172939364,1214,1278,5
471,177381012,905,953,26
472,165755132,456,480,5012
473,183594491,1241,1307,1100
474,177381014,532,560,26
475,177380975,531,559,26
476,172939361,6040,6358,767
477,153862481,5367,5650,733
478,172939371,3221,3391,5
479,87972601,2996,3154,733
480,160068677,2619,2757,802
481,172939372,2202,2318,693
482,172939367,2070,2179,944
483,165755168,2065,2174,1616
484,165755111,1949,2052,569
485,165755174,1713,1804,484
486,172939363,1589,1673,944
487,172939401,1104,1163,767
488,165755125,1026,1080,484
489,87972592,790,832,727
490,165755160,788,830,484
491,177380935,717,755,91
492,84416145,626,659,185
493,177380933,615,648,91
494,177380986,612,645,185
495,177380999,582,613,26
496,85672400,581,612,971
497,177380980,541,570,26
498,177381001,529,557,26
499,172939356,345,364,693
500,177380934,282,297,91
501,171646559,614,647,9
502,171654955,605,637,1
503,49336867,194,205,679
504,15523744,244,257,18
505,188281500,1364,1436,
506,188281327,975,1027,
507,206259231,829,873,5
508,165755148,902,950,1400
509,165755135,523,551,1400
510,80111222,4920,5179,1400
511,183594439,1214,1278,3227
512,183594568,750,790,467
513,183594556,2117,2229,467
514,165755140,535,564,2698
515,183594600,713,751,2471
516,80800045,331,349,2
517,160068697,4686,4933,2471
518,83495204,2954,3110,173
519,183594485,2439,2568,802
520,183594602,1355,1427,2471
521,183594532,1003,1056,1616
522,172939393,977,1029,767
523,160068696,909,957,2471
524,158384943,886,933,119
525,165755165,986,1038,1674
526,84416152,523,551,185
527,59270319,349,368,679
528,153546735,811,854,8
529,153553483,804,847,8
530,80654570,331,349,
531,172939351,664,699,5
532,172939348,1190,1253,944
533,165755170,576,607,957
534,172939353,3200,3369,944
535,172939388,2854,3005,1
536,165755171,1380,1453,569
537,172939346,1175,1237,693
538,172939359,1165,1227,5
539,165755126,1101,1159,569
540,172939397,523,551,693
541,49336868,194,205,679
542,179354203,679,715,
543,135805011,435,458,10
544,34170910,415,437,2217
545,47600667,1290,1358,34
546,73497025,180,190,278
547,110660384,2805,2953,29
548,89105361,2511,2644,151
549,141114563,1312,1382,334
550,89145114,568,598,30
551,87624913,389,410,55
552,161703978,374,394,3
553,84416143,467,492,185
554,203663948,402,424,16
555,191432954,611,644,2
556,147126435,366,386,547
557,85672397,540,569,185
558,9951674,900,948,971
559,204814479,1433,1509,3
560,186671739,135,143,4
561,163814888,354,373,380
562,162878550,448,472,101
563,147126433,366,386,547
564,110662365,5404,5689,29
565,181622016,614,647,384
566,147126436,366,386,547
567,42745470,471,496,232
568,35448070,3883,4088,21
569,202395007,380,400,
570,211711563,206,217,5
571,85672401,525,553,26
572,81825572,320,337,87
573,197322926,1710,1800,2
574,70405230,355,374,2081
575,146048008,637,671,384
576,110553163,290,306,125
577,64395464,280,295,101
578,34361807,626,659,
579,209423113,219,231,5
580,171653295,927,976,
581,15523745,282,297,18
582,177380927,1020,1074,91
583,177380976,576,607,185
584,177380974,535,564,185
585,111992714,331,349,
586,206259232,1265,1332,5
587,110533575,267,282,125
588,80657744,331,349,2
589,79961359,663,698,1
590,165755137,4612,4855,1400
591,114024125,642,676,
592,113990286,642,676,
593,153547919,559,589,4
594,183594523,815,858,569
595,165755129,6549,6894,569
596,160068668,5768,6072,3227
597,165755133,5745,6048,484
598,177380936,5490,5779,91
599,165755144,5229,5505,2698
600,165755116,5162,5434,1674
601,165755153,5005,5269,4
602,172939394,4695,4943,1
603,165755145,4647,4892,5012
604,172939385,4642,4887,693
605,160068681,4564,4805,802
606,183594560,4193,4414,467
607,183594567,3370,3548,467
608,165755162,3320,3495,4
609,172939392,3310,3485,5
610,183594496,3293,3467,1100
611,165755136,3273,3446,569
612,177380926,3150,3316,91
613,183594529,3143,3309,569
614,165755138,3126,3291,569
615,177380930,3084,3247,91
616,183594559,3036,3196,467
617,172939354,2933,3088,767
618,183594446,2909,3063,3227
619,183594546,2886,3038,91
620,183594520,2877,3029,2698
621,165755113,2872,3024,484
622,172939383,2817,2966,5
623,183594558,2809,2957,467
624,183594606,2668,2809,2471
625,183594553,2668,2809,1152
626,165755110,2639,2778,484
627,172939355,2618,2756,693
628,165755114,2572,2708,484
629,183594537,2524,2657,1616
630,183594599,2524,2657,5683
631,172939379,2464,2594,693
632,183594495,2443,2572,1100
633,172939373,2421,2549,944
634,183594528,2361,2486,569
635,172939380,2235,2353,1
636,183594462,2231,2349,7566
637,183594494,2208,2325,1100
638,183594545,2196,2312,91
639,183594519,2185,2300,2698
640,183594444,2181,2296,3227
641,160068679,2139,2252,802
642,183594527,2110,2222,569
643,177380929,2070,2179,91
644,183594605,2056,2165,2471
645,183594552,2056,2165,1152
646,177380940,2053,2162,91
647,183594557,2037,2145,467
648,183594536,1964,2068,1616
649,183594598,1964,2068,5683
650,183594442,1952,2055,3227
651,183594544,1938,2040,91
652,183594518,1927,2029,2698
653,172939340,1911,2012,767
654,183594484,1879,1978,802
655,165755158,1819,1915,4
656,183594604,1793,1888,2471
657,183594551,1793,1888,1152
658,172939375,1742,1834,1
659,183594597,1697,1787,5683
660,183594535,1697,1787,1616
661,183594492,1667,1755,1100
662,183594493,1642,1729,1100
663,183594483,1639,1726,802
664,183594525,1593,1677,569
665,183594526,1588,1672,569
666,172939365,1479,1557,693
667,183594543,1478,1556,91
668,183594440,1474,1552,3227
669,183594517,1471,1549,2698
670,160068678,1470,1548,802
671,183594441,1467,1545,3227
672,183594603,1385,1458,2471
673,183594550,1385,1458,1152
674,183594549,1355,1427,1152
675,183594516,1330,1400,2698
676,165755156,1295,1364,4
677,183594533,1284,1352,1616
678,183594595,1284,1352,5683
679,177380928,1271,1338,91
680,183594482,1265,1332,802
681,183594524,1201,1265,569
682,177381004,1196,1259,727
683,33099216,1150,1211,727
684,177381005,1096,1154,727
685,183594548,1049,1105,1152
686,183594513,1034,1089,2698
687,183594480,959,1010,802
688,160068675,903,951,802
689,177381007,888,935,727
690,177380998,854,899,185
691,177381010,846,891,971
692,177380978,842,887,185
693,183594490,840,885,1100
694,183594540,760,800,91
695,177381013,726,765,26
696,183594547,713,751,1152
697,183594512,691,728,2698
698,183594479,662,697,802
699,177380977,572,603,26
700,177380972,544,573,185
701,177380969,534,563,185
702,177381002,530,558,26
703,177380971,479,505,26
704,165755124,3614,3805,569
705,110658526,1334,1405,29
706,79985916,497,524,1
707,172939370,3200,3369,1
708,172939347,3125,3290,767
709,160068680,2958,3114,802
710,172939378,2480,2611,5
711,172939357,1190,1253,1
712,172939342,960,1011,693
713,172939344,576,607,1
714,28876070,804,847,720
715,194564113,366,386,547
716,175079352,436,459,679
717,59270318,261,275,679
718,79925625,753,793,54
719,51544925,506,533,124
720,146048536,380,400,384
721,163815788,354,373,380
722,141114026,2864,3015,334
723,151908627,2873,3025,23
724,151907871,1436,1512,23
725,152196756,648,683,1
726,159709882,288,304,3
727,160505548,278,293,3
728,212972489,436,459,2
729,143438897,1309,1378,49
730,151908290,3168,3335,23
731,151908113,1988,2093,23
732,212749010,2182,2297,2
733,212956693,1484,1563,2
734,212964090,873,919,2
735,143969153,584,615,1
736,151909336,493,519,4
737,139976273,456,480,16
738,132449127,3290,3464,34
739,47314672,3125,3290,34
740,154697703,390,411,165
741,135574890,1397,1471,98
742,66566676,747,787,17
743,42747468,445,469,217
744,89142744,309,326,11
745,169748399,554,584,9
746,169754438,355,374,9
747,143109522,355,374,2081
748,209421726,80,85,2
749,202773192,279,294,1
750,185430517,743,783,
751,185430009,506,533,
752,205565569,436,459,10
753,155749115,711,749,54
754,205568520,471,496,10
755,77242147,293,309,52
756,110654754,286,302,125
757,154739656,355,374,2081
758,208867118,291,307,
759,56275561,576,607,52
760,145538218,549,578,68
761,81826123,589,620,87
762,101329153,588,619,2081
763,177628421,830,874,98
764,62952102,323,340,96
765,153555777,721,759,8
766,153535718,641,675,4
767,153552375,559,589,4
768,153557158,478,504,4
769,153559963,323,340,4
770,47258761,1356,1428,8
771,51543324,495,522,107
772,79925624,719,757,54
773,208672329,1081,1138,125
774,110530093,224,236,125
775,151908644,5620,5916,23
776,161711842,435,458,3
777,152004533,410,432,1
778,161717265,402,424,3
779,160497477,331,349,3
780,160503066,251,265,3
781,197585689,838,883,
782,155852969,630,664,7
783,97702438,500,527,16
784,143969151,410,432,1
785,150521140,602,634,6
786,110536464,236,249,30
787,169739343,345,364,9
788,177986437,945,995,98
789,29255614,355,374,2081
790,42747469,488,514,217
791,147429215,155,164,2
792,101329152,355,374,2081
793,56292584,375,395,71
794,155749114,742,782,54
795,147429204,410,432,1
796,147429257,203,214,
797,150749870,164,173,3
798,88998927,324,342,71
799,100001453,439,463,2
800,89151933,593,625,71
801,177986438,1148,1209,98
802,17368381,379,399,2217
803,153560903,559,589,8
804,160633301,281,296,2
805,152004328,1278,1346,8
806,152004301,903,951,8
807,216075882,1184,1247,
808,216073566,1252,1318,
809,216073568,1252,1318,
810,216073569,1034,1089,
811,216075881,966,1017,
812,216075880,952,1003,
813,151927827,716,754,12
814,186960675,680,716,6
815,215584915,392,413,
816,215584914,392,413,
817,193222926,1728,1819,4
818,216073567,1265,1332,
819,216075878,1184,1247,
820,216073570,1169,1231,
821,216075879,952,1003,
822,151911445,1390,1464,2
823,151911102,727,766,2
824,152196440,663,698,1
825,152004478,474,499,1
826,215584912,378,398,
827,215584916,401,423,
828,215584913,631,665,
829,185755589,628,662,3
830,151927840,1826,1923,12
831,152004200,859,905,8
832,155852714,692,729,7
833,176555710,530,558,2
834,188166875,517,545,
835,95589546,479,505,1
836,143969149,422,445,1
837,188169318,396,417,
838,182257718,494,520,384
839,67526415,562,592,217
840,147429127,314,331,
841,177986439,948,998,98
842,66565841,659,694,12
843,101329154,355,374,2081
844,150749862,286,302,7
845,146854921,349,368,3
846,150749879,340,358,1
847,63505936,768,809,96
848,206548581,2592,2729,
849,51544440,592,624,130
850,77717075,628,662,
851,77561587,521,549,
852,77407724,385,406,
853,77694886,361,380,
854,77543742,563,593,
855,77553247,753,793,
856,77558851,753,793,
857,77696404,385,406,
858,139973872,663,698,16
859,68211098,610,643,
860,186855009,1728,1819,4
861,152004280,540,569,8
862,161717577,291,307,3
863,151927833,1009,1063,12
864,151927817,673,709,12
865,160724892,311,328,3
866,152004263,2148,2262,8
867,152004193,797,839,8
868,151910878,500,527,2
869,152004225,1165,1227,8
870,197612204,628,662,
871,151909660,1243,1309,4
872,184988384,1216,1280,1
873,151910074,1203,1267,4
874,151909925,1095,1153,4
875,140153004,717,755,16
876,152004150,580,611,8
877,155853432,579,610,1
878,151910959,549,578,2
879,151909790,490,516,4
880,151909209,460,485,4
881,151304091,436,459,2
882,186109789,431,454,
883,143969150,422,445,1
884,64048211,421,444,2
885,153945634,366,386,2
886,151910529,357,376,2
887,143969152,357,376,1
888,151909136,349,368,4
889,186851307,628,662,6
890,147429145,263,277,1
891,147429047,256,270,4
892,17368785,388,409,2217
893,160633306,358,377,1
894,197900449,6415,6753,2
895,188058204,2525,2658,
896,188060452,2329,2452,
897,79629446,450,474,
898,182019892,546,575,3
899,77717823,377,397,
900,79633377,372,392,
901,79631934,369,389,
902,79636333,369,389,
903,77718757,369,389,
904,79703826,871,917,
905,79690472,399,420,
906,79641534,393,414,
907,77699781,445,469,
908,79692675,369,389,
909,79700009,849,894,
910,77563677,635,669,
911,171498862,326,344,
912,151909546,705,743,4
913,155796356,604,636,7
914,155852195,515,543,7
915,155783060,435,458,1
916,155784232,397,418,7
917,147429195,288,304,
918,147429161,232,245,
919,189638955,981,1033,
920,103648355,939,989,
